Year,,Cruise,Signature,numerical month,Project Principals,Vessel,Cruise Dates,Months,Latitude,Longitude,Summary,New Themes,OER Focus Areas,Platforms,Mission Group,MEOW,OE_Link,OE_Link_Image,SOO,Overview,Archive,Direct,NCDDC_Link,AuthoritativeIDx,CruiseID,GISMapLayers,EEM,Lesson_Plans,EMC,Educ_Focus,Publications,Metadata
2004,GOA2004,Exploring Alaska's Seamounts,Yes,8,"Dr. Amy Baco-Taylor, Woods Hole Oceanographic Institution (Principal Investigator); Dr. Thomas Shirley, University of Alaska - Fairbanks (Principal Investigator); Peter Etnoyer, Aquanautix Consulting (Principal Investigator); Randy Keller, Oregon State University (Principal Investigator)",R/V Atlantis,"July 30 - August 23, 2004",August,55.5,-144,"An expedition party dove to 3,500 meters to conduct biological and geological investigations on 5 submerged volcanoes over a 400 nautical mile section of the Northeast Pacific.","subs, seamount, volcano, corals, micro, biodiv",arctic,"atlantis, alvin",,coldnepac,http://oceanexplorer.noaa.gov/explorations/04alaska/welcome.html,ga_2004.jpg,,,"Multibeam Archive Collection; Get Data; National Geophysical Data Center Archive Collection; http://www.ngdc.noaa.gov/nndc/struts/results?op_0=eq&v_0=NEW614&t=101378&s=8&d=70&d=75&d=76&d=74&d=73&d=72&d=81&d=82&d=85&d=86&d=79&no_data=suppress | Physical, Chemical, and Biological Archive Collection; Get Data; National Oceanographic Data Center Archive Collection; http://accession.nodc.noaa.gov/72310 | Collection of Documents, Images, and Video Highlights; Get Data; NOAA Central Library Cruise Catalog; http://www.lib.noaa.gov/uhtbin/cgisirsi/x/x/0/5/?searchdata1=ocn213331310",Academic Fleet R2R Data Management; Open; Academic Fleet Rolling Deck to Repository Data Management Website; http://www.rvdata.us/catalog/AT11-15 | Woods Hole Oceanographic Institution Data Library and Archives; Open; WHOI Data Library and Archives Website; http://dla.whoi.edu/cruises/at11-15,,AT11L15,,,,,http://oceanexplorer.noaa.gov/explorations/04alaska/background/edu/edu.html,,http://www.lib.noaa.gov/researchtools/subjectguides/oceanexplorebib_exped.html#galaska_details,http://service.ncddc.noaa.gov/rdn/oer-waf/ISO/Resolved/2004/ExploringAlaskasSeamounts_2004_COLLECTION_RESOLVED.html
2004,ODS2004,Operation Deep Scope,Yes,8,"Dr. Charles Mazel, Physical Sciences, Inc. (Principal Investigator); Dr. Edith Widder, Ocean Research and Conservation Association (Principal Investigator)",R/V Seward Johnson II,"August 7 - 17, 2004",August,27.927429,-89.973328,The science team used advanced camera systems and light-tight traps to explore the benthic creatures of the Northern Gulf of Mexico - one of the most geologically complex regions on the planet.,"biolum, subs",gom,"sjohnson, jsl",Bioluminescence,warmnwatl,http://oceanexplorer.noaa.gov/explorations/04deepscope/welcome.html,ods_2004.jpg,,,"Physical, Chemical, and Biological Archive Collection; Get Data; National Oceanographic Data Center Archive Collection; http://accession.nodc.noaa.gov/1965 | Video Archive Collection; Get Data; National Oceanographic Data Center Archive Collection; http://accession.nodc.noaa.gov/1966 | Collection of Documents, Images, and Video Highlights; Get Data; NOAA Central Library Cruise Catalog; http://www.lib.noaa.gov/uhtbin/cgisirsi/x/x/0/5/?searchdata1=ocn298345306",,,,,,,,http://oceanexplorer.noaa.gov/explorations/04deepscope/background/edu/edu.html,http://oceanexplorer.noaa.gov/edu/guide/welcome.html,http://www.lib.noaa.gov/researchtools/subjectguides/oceanexplorebib_exped.html#operation_details,
2004,Ocracoke2004,The Ocracoke Shipwreck Survey,No,8,"Dr. Timothy Runyan, East Carolina University (Principal Investigator)",Naval Research Afloat Lab YP 679,August 2004 & October 2004,August & October,35.132,-75.91,"The Okracoke Shipwreck Survey sought to discover the remains of U.S. lost maritime heritage through exploration and discovery of submerged cultural resources, primarily focusing on shipwrecks.","arch, mapping",,navylab679,,coldnwatl,http://oceanexplorer.noaa.gov/explorations/04ocracoke/welcome.html,oss_2004.jpg,,,,,,,,,,,,,,
2004,DWMM2004,Deep Water Macroalgal Meadows,No,9,"Heather Spalding, University of Hawaii - Manoa (Principal Investigator); Dr. Celia Smith, University of Hawaii - Manoa (Principal Investigator); Dr. Francis Sansone, University of Hawaii - Manoa (Principal Investigator); Kimberly Peyton, University of Hawaii - Manoa (Principal Investigator)",R/V Ka'imikai-o-Kanaloa,"September 3 - 7, 2004; December 13 - 17, 2004",September-December,19.960571,-157.674133,Discover why the waters surrounding the Hawaiian Islands are rich with a high diversity of tropical algae (seaweed or limu) and other marine life.,"corals, biodiv, subs, micro, habitat",hawaii,"kok, rcv, pisces4, pisces5",,hawaii,http://oceanexplorer.noaa.gov/explorations/04algae/welcome.html,dwmm_2004.jpg,,,"Collection of Documents, Images, and Video Highlights; Get Data; NOAA Central Library Cruise Catalog; http://www.lib.noaa.gov/uhtbin/cgisirsi/x/x/0/5/?searchdata1=ocn820562442",,,,,,,,,,http://www.lib.noaa.gov/researchtools/subjectguides/oceanexplorebib_exped.html#deepwater_details,
2004,USS092004,Search for the USS-09,No,9,"Rick Yorczyk, NOAA/OAR/OER (Principal Investigator)",R/V Connecticut,Sep-04,September,42.97,-70.62,Read about a marine archaeology expedition that tried to shed some light on what happened to this ill-fated American submarine.,"arch, mapping, subs",,connecticut,,coldnwatl,http://oceanexplorer.noaa.gov/projects/04uss09/welcome.html,uss09_2004.jpg,,,"Collection of Documents, Images, and Video Highlights; Get Data; NOAA Central Library Cruise Catalog; http://www.lib.noaa.gov/uhtbin/cgisirsi/x/x/0/5/?searchdata1=ocn861785223",,,,,,,,,,,
2004,DeepSeaCorals2004,Deep Sea Precious Corals,No,10,"Dr. Amy Baco-Taylor, Woods Hole Oceanographic Institution (Principal Investigator); Dr. Thomas Shirley, University of Alaska - Fairbanks (Principal Investigator)",R/V Ka'imikai-o-Kanaloa,"October 2 - 18, 2004",October,18.9,-156,"Scientists examined the coral-associated invertebrate fauna at three large precious coral beds in the Hawaiian Archipelago, the Makapuu Bed, on the southwest slope of Oahu, the Keahole Bed, on the western slope of Hawaii, and the Cross Seamount Bed.","corals, habitat, biodiv, subs",hawaii,"kok, pisces5",,hawaii,http://oceanexplorer.noaa.gov/explorations/04coral/welcome.html,dspc_2004.jpg,,,"Collection of Documents, Images, and Video Highlights; Get Data; NOAA Central Library Cruise Catalog; http://www.lib.noaa.gov/uhtbin/cgisirsi/x/x/0/5/?searchdata1=ocn551205658",,,,,,,,,,http://www.lib.noaa.gov/researchtools/subjectguides/oceanexplorebib_exped.html#precious_details,
2004,HLY0405,Extended Continental Shelf (ECS) Project (HLY0405),No,10,"Dr. Larry A. Mayer, University of New Hampshire",USCG Healy,"October 6 - 26, 2004",October,80,160,"The U.S. Extended Continental Shelf (ECS) Task Force directs and coordinates the Extended Continental Shelf Project, an effort to delineate the U.S. continental shelf beyond 200 nautical miles. This cruise ran 6700 km of tracklines in 20 days and completed most of the mapping of the 2500-m isobath (begun on HEALY 0304) as well as a detailed survey of the “foot of the slope” over a segment of the continental margin east of Barrow, AK.",mapping,"conshelf, arctic","healy, stlaurent",Extended Continental Shelf,arctic,http://www.ngdc.noaa.gov/mgg/ecs/ecs.html,healy_108x71.jpg,,Cruise Report; Open; Cruise Summary Report; http://oer.hpc.msstate.edu/ECS/arctic/HLY0405_cruise_report.pdf,"Multibeam Archive Collection; Get Data; National Geophysical Data Center Archive Collection; http://www.ngdc.noaa.gov/nndc/struts/results?op_0=l&v_0=NEW1209&t=101378&s=8&d=70&d=75&d=76&d=74&d=73&d=72&d=81&d=82&d=85&d=86&d=79&no_data=suppress | Trackline Data (Single-beam and Sub-bottom); Get Data; National Geophysical Data Center Archive Collection; http://www.ngdc.noaa.gov/trackline/request/?surveyIds=HE0405 | Collection of Documents, Images, and Video Highlights; Get Data; NOAA Central Library Cruise Catalog; http://www.lib.noaa.gov/uhtbin/cgisirsi/x/x/0/5/?searchdata1=ocn171292073",Academic Fleet R2R Data Management; Open; Academic Fleet Rolling Deck to Repository Data Management Website; http://www.rvdata.us/catalog/HLY0405,,,"HE0405, HLY0405",Ship Track (ECS);2004;HE0405;2004ST.jpg,,,,,,http://www.ngdc.noaa.gov/nmmrview/metadata.jsp?xml=NOAA/NESDIS/NGDC/MGG/Cruise/iso/xml/HLY0405.xml&view=xml2text/xml-to-text-ISO&altview=none
2004,HEN04-1,Extended Continental Shelf (ECS) Project (HEN04-1),No,9,"James Gardner, University of New Hampshire ",USNS Henson,"August 23 - September 18, 2004",August-September,40,-65,"This expedition was one of a series of cruises aimed at collecting high-resolution seafloor mapping data in areas along the US Atlantic continental margin that may potentially qualify for an extended continental shelf under Article 76 of the United Nations Convention on the Law of the Sea (UNCLOS). The first leg of operations required a six-day, 3450 km, transit from Gulfport, MS to an area near the claimed US-Canadian maritime boundary. A patch test (exclusive of a yaw calibration) was performed in this area and was followed by 17 days of progressively mapping the margin from north to south.  ",mapping,conshelf,henson,Extended Continental Shelf,coldnwatl,https://www.continentalshelf.gov/,hen04.JPG,,Cruise Report; Open; Cruise Summary Report; http://oer.hpc.msstate.edu/ECS/atlantic/Gardner_04_cruise_report_HEN04-1.pdf,Multibeam Archive Collection; Get Data; National Geophysical Data Center Archive Collection; http://www.ngdc.noaa.gov/nndc/struts/results?op_0=l&v_0=NEW492&t=101378&s=8&d=70&d=75&d=76&d=74&d=73&d=72&d=81&d=82&d=85&d=86&d=79&no_data=suppress | Trackline Data (Sub-bottom); Get Data; National Geophysical Data Center Archive Collection; http://www.ngdc.noaa.gov/trackline/request/?surveyIds=HEN04-1 | Gravity and Magnetics Data; Get Data; National Geophysical Data Center Archive Collection; http://www.ngdc.noaa.gov/trackline/request/?surveyIds=HEN04-1 ,,,HEN04-1,HEN04-1,Ship Track (ECS);2004;HEN04-1;2004ST.jpg,,,,,,http://www.ngdc.noaa.gov/docucomp/page?xml=NOAA/NESDIS/NGDC/MGG/Cruise/iso/xml/HEN04-1.xml&view=getDataView&header=none
2004,HEN04-2,Extended Continental Shelf (ECS) Project (HEN04-2),No,10,"James Gardner, University of New Hampshire",USNS Henson,"September 25 - October 21, 2004",September-October,38,-69,"This expedition was one of a series of cruises aimed at collecting high-resolution seafloor mapping data in areas along the US Atlantic continental margin that may potentially qualify for an extended continental shelf under Article 76 of the United Nations Convention on the Law of the Sea (UNCLOS).  Leg 2 of the survey collected 10,397 line km of MBES and 3.5-kHz profiler lines.",mapping,conshelf,henson,Extended Continental Shelf,coldnwatl,https://www.continentalshelf.gov/,hen04.JPG,,Cruise Report; Open; Cruise Summary Report; http://oer.hpc.msstate.edu/ECS/atlantic/Gardner_04_cruise_report_HEN04-1.pdf,Multibeam Archive Collection; Get Data; National Geophysical Data Center Archive Collection; http://www.ngdc.noaa.gov/nndc/struts/results?op_0=l&v_0=NEW497&t=101378&s=8&d=70&d=75&d=76&d=74&d=73&d=72&d=81&d=82&d=85&d=86&d=79&no_data=suppress | Trackline Data (Sub-bottom); Get Data; National Geophysical Data Center Archive Collection; http://www.ngdc.noaa.gov/trackline/request/?surveyIds=HEN04-2 | Gravity and Magnetics Data; Get Data; National Geophysical Data Center Archive Collection; http://www.ngdc.noaa.gov/trackline/request/?surveyIds=HEN04-2,,,HEN04-2,HEN04-2,Ship Track (ECS);2004;HEN04-2;2004ST.jpg,,,,,,http://www.ngdc.noaa.gov/nmmrview/metadata.jsp?xml=NOAA/NESDIS/NGDC/MGG/Cruise/iso/xml/HEN04-2.xml&view=xml2text/xml-to-text-ISO&altview=none
2004,HEN04-3,Extended Continental Shelf (ECS) Project (HEN04-3),No,11,"James Gardner, University of New Hampshire",USNS Henson,"October 30 - November 29, 2004",October-November,39,-64,"This expedition was one of a series of cruises aimed at collecting high-resolution seafloor mapping data in areas along the US Atlantic continental margin that may potentially qualify for an extended continental shelf under Article 76 of the United Nations Convention on the Law of the Sea (UNCLOS). Leg 3 collected 13,755 line km of MBES and 3.5-kHz profiles",mapping,conshelf,henson,Extended Continental Shelf,"coldnwatl, warmnwatl",https://www.continentalshelf.gov/,hen04.JPG,,Cruise Report; Open; Cruise Summary Report; http://oer.hpc.msstate.edu/ECS/atlantic/Gardner_04_cruise_report_HEN04-1.pdf,Multibeam Archive Collection; Get Data; National Geophysical Data Center Archive Collection; http://www.ngdc.noaa.gov/nndc/struts/results?op_0=l&v_0=NEW498&t=101378&s=8&d=70&d=75&d=76&d=74&d=73&d=72&d=81&d=82&d=85&d=86&d=79&no_data=suppress | Trackline Data (Sub-bottom); Get Data; National Geophysical Data Center Archive Collection; http://www.ngdc.noaa.gov/trackline/request/?surveyIds=HEN04-3 | Geologic Samples; Get Data; National Geophysical Data Center Archive Collection; http://www.ngdc.noaa.gov/trackline/request/?surveyIds=HEN04-3 ,,,HEN04-3,HEN04-3,Ship Track (ECS);2004;HEN04-3;2004ST.jpg,,,,,,http://www.ngdc.noaa.gov/nmmrview/metadata.jsp?xml=NOAA/NESDIS/NGDC/MGG/Cruise/iso/xml/HEN04-3.xml&view=xml2text/xml-to-text-ISO&altview=none
2005,Aquarius2005,The Aquarius Habitat,No,0,,Aquarius Habitat,"May 19 - June 3, 2005",Year round,25.12,-80.42,An intensive week of ocean science and discovery for a nationally selected group of six Girl Scouts.,,conshelf,aquarius,,tropnwatl,http://oceanexplorer.noaa.gov/projects/05aquarius/welcome.html,ah_2005.jpg,,,,,,,,,,,,,,http://service.ncddc.noaa.gov/rdn/oer-waf/FGDC/2005/AquariusHabitat2005_Cruise_Level.html
2005,Vailulu2005,Vailulu'u,No,3,"Dr. Craig Young, University of Oregon (Principal Investigator); Dr. Hubert Staudigel, Scripps Institution of Oceanography (Principal Investigator)",R/V Ka'imikai-o-Kanaloa,March - July 2005,March-July,-14.2,-170.45,Scientists explored the Vailuluu underwater volcano that lies approximately 20 miles east of Tau Island in America Samoa.,"volcano, subs, biodiv, habitat",intl,"kok, pisces5",,polynesia,http://oceanexplorer.noaa.gov/explorations/05vailuluu/welcome.html,vailuluu_2005.jpg,,,"Collection of Documents, Images, and Video Highlights; Get Data; NOAA Central Library Cruise Catalog; http://www.lib.noaa.gov/uhtbin/cgisirsi/x/x/0/5/?searchdata1=ocn823920679",,,,,,,,,,,
2005,NZSROF2005,New Zealand American Submarine Ring of Fire,Yes,4,"Dr. Robert Embley, Pacific Marine Environmental Laboratory, NOAA (Principal Investigator)",R/V Ka'imikai-o-Kanaloa,"April 3 - May 10, 2005",April-May,-31.83333,-179.25,"Scientists explore the active submarine volcanoes along the Kermadec Arc, located north of New Zealand, with a pair of manned submersibles.","subs, volcano, seep, biodiv",intl,"kok, pisces4, pisces5",Ring of Fire,northnewzeal,http://oceanexplorer.noaa.gov/explorations/05fire/welcome.html,srof_2005.gif,,,"Physical, Chemical, and Biological Archive Collection; Get Data; National Oceanographic Data Center Archive Collection; http://accession.nodc.noaa.gov/56846 | Collection of Documents, Images, and Video Highlights; Get Data; NOAA Central Library Cruise Catalog; http://www.lib.noaa.gov/uhtbin/cgisirsi/x/x/0/5/?searchdata1=ocn701481686",,,,,,,,http://oceanexplorer.noaa.gov/explorations/05fire/background/edu/edu.html,,http://www.lib.noaa.gov/researchtools/subjectguides/oceanexplorebib_exped.html#submarine_details,http://service.ncddc.noaa.gov/rdn/oer-waf/FGDC/2005/NewZealandAmericanSubmarineRingOfFire2005_Cruise_Level.html
2005,GalapagosRift2005,Galapagos Rift,No,5,"Dr. Timothy Shank, Woods Hole Oceanographic Institution (Principal Investigator); Daniel Fornari, Woods Hole Oceanographic Institution (Principal Investigator)",R/V Atlantis,"May 19 - June 3, 2005",May-June,0.167419,-89.050293,"Scientists returned to a discovery found just over a quarter-century ago, on the bottom of the eastern Pacific Ocean that forever changed our understanding of our planet, and life on it.","seep, subs, volcano, biodiv, habitat, micro, sampling",intl,"atlantis, alvin",,galapagos,http://oceanexplorer.noaa.gov/explorations/05galapagosrift/welcome.html,gr_2005.jpg,,,"Multibeam Archive Collection; Get Data; National Geophysical Data Center Archive Collection; http://www.ngdc.noaa.gov/nndc/struts/results?op_0=eq&v_0=NEW796&t=101378&s=8&d=70&d=75&d=76&d=91&d=93&d=74&d=73&d=72&d=81&d=82&d=85&d=86&d=79&no_data=suppress | Physical, Chemical, and Biological Archive Collection; Get Data; National Oceanographic Data Center Archive Collection; http://accession.nodc.noaa.gov/41578 | Collection of Documents, Images, and Video Highlights; Get Data; NOAA Central Library Cruise Catalog; http://www.lib.noaa.gov/uhtbin/cgisirsi/x/x/0/5/?searchdata1=ocn846905341",Academic Fleet R2R Data Management; Open; Academic Fleet Rolling Deck to Repository Data Management Website; http://www.rvdata.us/catalog/AT11-27 |  Woods Hole Oceanographic Institution Data Library and Archives; Open; WHOI Data Library and Archives Website; http://dla.whoi.edu/cruises/at11-27,,AT11L27,,,,,,,http://www.lib.noaa.gov/researchtools/subjectguides/oceanexplorebib_exped.html#grift_details,http://service.ncddc.noaa.gov/rdn/oer-waf/FGDC/2005/GalapagosRift2005_Cruise_Level.html
2005,HiddenOcean2005,The Hidden Ocean Arctic,Yes,6,"Dr. Rolf Gradinger, University of Alaska - Fairbanks (Principal Investigator)",USCG Healy,"June 27 - July 26, 2005",June-July,73.5,-155,"Scientists participated in a collaborative effort to explore the frigid depths of the Canada Basin, located in one of the deepest parts of the Arctic Ocean.","micro, subs, biodiv, diving",arctic,"healy, global, scuba",,arctic,http://oceanexplorer.noaa.gov/explorations/05arctic/welcome.html,ho_2005.jpg,,,"Multibeam Archive Collection; Get Data; National Geophysical Data Center Archive Collection; http://www.ngdc.noaa.gov/nndc/struts/results?op_0=l&v_0=NEW1027&t=101378&s=8&d=70&d=75&d=76&d=74&d=73&d=72&d=81&d=82&d=85&d=86&d=79&no_data=suppress | Physical, Chemical, and Biological Archive Collection; Get Data; National Oceanographic Data Center Archive Collection; http://accession.nodc.noaa.gov/2419 | Collection of Documents, Images, and Video Highlights (Polar Expedition); Get Data; NOAA Central Library Cruise Catalog; http://www.lib.noaa.gov/uhtbin/cgisirsi/x/x/0/5/?searchdata1=ocn171292073 | Collection of Documents, Images, and Video Highlights (Arctic Expedition); Get Data; NOAA Central Library Cruise Catalog; http://www.lib.noaa.gov/uhtbin/cgisirsi/x/x/0/5/?searchdata1=ocn166142870",Academic Fleet R2R Data Management; Open; Academic Fleet Rolling Deck to Repository Data Management Website; http://www.rvdata.us/catalog/HLY0502,,"hidden ocean; ho_2005, HLY0502",ho_2005,Ship Track;OECruiseData;89;2005ST.jpg,,,http://oceanexplorer.noaa.gov/explorations/05arctic/background/edu/edu.html,,http://www.lib.noaa.gov/researchtools/subjectguides/oceanexplorebib_exped.html#hidden_details,http://service.ncddc.noaa.gov/rdn/oer-waf/FGDC/2005/HiddenOcean2005_Cruise_Level.html
2005,SAB2005,South Atlantic Bight 2005,No,6,"Andy David, NOAA NURC/UNCW,NMFS (Chief Scientist) ",R/V Cape Fear,"June 15 - July 7, 2005",June-July,33,-78.43,This project conninued acoustic mapping of the Oculina Banks Habitat Area of Particular Concern (OHAPC)  which began in 2002 with a multi-beam survey of the Experimental Oculina Research Reserve.  It intended to finish mapping the remaining banks inside the OHAPC and provide the first high-resolution maps of coral mounds and habitat that still remains unprotected.  Bathymetry and Backscatter were to be integrated into the Oculina Geographic Information System.  The second project included mapping 5 Marine Protected Areas in an effort to develop robust monitoring.,"habitat, mapping",sab,capefear,,warmnwatl,http://fvcom.smast.umassd.edu/research_projects/SAltBight/index.html,SouthAtlantic2005.JPG,,,"Multibeam Archive Collection; Get Data; National Geophysical Data Center Archive Collection; http://www.ngdc.noaa.gov/nndc/struts/results?op_0=l&v_0=&op_1=eq&v_1=Cape+Fear&op_2=eq&v_2=&op_3=l&v_3=&op_4=eq&v_4=&op_5=l&v_5=&op_6=l&v_6=&eq_7=&ge_7=&le_7=&eq_8=&ge_8=&le_8=&t=101378&s=47&d=21&d=22 | Collection of Documents, Images, and Video Highlights (Arctic Expedition); Get Data; NOAA Central Library Cruise Catalog; http://www.lib.noaa.gov/uhtbin/cgisirsi/x/x/0/5/?searchdata1=ocn838077546",,,,,,,,,,,
2005,LostCity2005,The Lost City,Yes,7,"Dr. Robert Ballard, Institute for Exploration (Principal Investigator); Dr. Deborah Kelley, University of Washington (Principal Investigator)",NOAA Ship Ronald H. Brown,"July 17 - August 4, 2005",July-August,32.8396,-47.757813,This exploration introduced a new methodology for marine fieldwork.  Scientists used satellites to view and analyze data without being on a ship at sea.,"subs, seep, tele",ridge,"ronbrown, herc, argus",,"coldnwatl, lusitanian",http://oceanexplorer.noaa.gov/explorations/05lostcity/welcome.html,lc_2005.jpg,,,"Multibeam Archive Collection; Get Data; National Geophysical Data Center Archive Collection; http://www.ngdc.noaa.gov/nndc/struts/results?op_0=eq&v_0=NEW1110&t=101378&s=8&d=70&d=75&d=76&d=74&d=73&d=72&d=81&d=82&d=85&d=86&d=79&no_data=suppress | Physical, Chemical, and Biological Archive Collection; Get Data; National Oceanographic Data Center Archive Collection; http://accession.nodc.noaa.gov/56847 | Collection of Documents, Images, and Video Highlights; Get Data; NOAA Central Library Cruise Catalog; http://www.lib.noaa.gov/uhtbin/cgisirsi/x/x/0/5/?searchdata1=ocn688242018",,,"lostcity2005; lc_2005, RB0503",lc_2005,Ship Track;OECruiseData;77;2005ST.jpg,,,http://oceanexplorer.noaa.gov/explorations/05lostcity/background/edu/edu.html,,http://www.lib.noaa.gov/researchtools/subjectguides/oceanexplorebib_exped.html#lost_details,http://service.ncddc.noaa.gov/rdn/oer-waf/FGDC/2005/LostCity2005_Cruise_Level.html
2005,NASS2005,North Atlantic Stepping Stones,Yes,8,"Dr. Timothy Shank, Woods Hole Oceanographic Institution (Principal Investigator); Rhian Waller, Woods Hole Oceanographic Institution (Principal Investigator)",NOAA Ship Ronald H. Brown,"August 7 - September 3, 2005",August-September,35.958191,-52.054688,Scientists studied the very old New England and Corner Stone seamount chains to help them understand the distribution of deep-sea biodiversity.,"tele, subs, seamount, biodiv, corals, habitat",ridge,"ronbrown, herc, argus",,"coldnwatl, lusitanian",http://oceanexplorer.noaa.gov/explorations/05stepstones/welcome.html,nass_2005.jpg,,,"Multibeam Archive Collection; Get Data; National Geophysical Data Center Archive Collection; http://www.ngdc.noaa.gov/nndc/struts/results?op_0=l&v_0=NEW1028&t=101378&s=8&d=70&d=75&d=76&d=74&d=73&d=72&d=81&d=82&d=85&d=86&d=79&no_data=suppress | Physical, Chemical, and Biological Archive Collection; Get Data; National Oceanographic Data Center Archive Collection; http://accession.nodc.noaa.gov/56843 | Collection of Documents, Images, and Video Highlights; Get Data; NOAA Central Library Cruise Catalog; http://www.lib.noaa.gov/uhtbin/cgisirsi/x/x/0/5/?searchdata1=ocn706696986",,,"steppingstones2005; nass_2005, RB0503",nass_2005,Ship Track;OECruiseData;80;2005ST.jpg,,,http://oceanexplorer.noaa.gov/explorations/05stepstones/background/education/education.html,,http://www.lib.noaa.gov/researchtools/subjectguides/oceanexplorebib_exped.html#north_details,
2005,ODS2005,Operation Deep Scope,Yes,8,"Dr. Edith Widder, Ocean Research and Conservation Association (Principal Investigator)",R/V Seward Johnson,"August 19 - September 4, 2005",August-September,28.314575,-90.153687,"Scientists returned to explore the benthic creatures of the Northern Gulf of Mexico, hoping to continue an astonishing array of discoveries, including that of a fluorescent shark, fluorescent methane hydrates, and a new species of large deep-sea squid.","biolum, subs, biodiv, habitat",gom,"sewardjohnson, jsl",Bioluminescence,"tropnwatl, warmnwatl",http://oceanexplorer.noaa.gov/explorations/05deepscope/welcome.html,ods_2005.gif,,,"Physical, Chemical, and Biological Archive Collection; Get Data; National Oceanographic Data Center Archive Collection; http://accession.nodc.noaa.gov/54831 | Collection of Documents, Images, and Video Highlights; Get Data; NOAA Central Library Cruise Catalog; http://www.lib.noaa.gov/uhtbin/cgisirsi/x/x/0/5/?searchdata1=ocm63675897",,,ods_2005,ods_2005,Ship Track;OECruiseData;86;2005ST.jpg|Dive Locations;OECruiseData;82;2005D.jpg|Dive Trackpoints;OECruiseData;84;2005DTP.jpg|Non-Dive Locations;OECruiseData;83;2005ND.jpg,,,http://oceanexplorer.noaa.gov/explorations/05deepscope/background/edu/edu.html,http://oceanexplorer.noaa.gov/edu/guide/welcome.html,http://www.lib.noaa.gov/researchtools/subjectguides/oceanexplorebib_exped.html#operation_details,
2005,LOTE2005,Life on the Edge,Yes,10,"Liz Baird, North Carolina Museum of Natural Sciences (Principal Investigator); Dr. Steve Ross, University of North Carolina - Wilmington (Principal Investigator)",R/V Seward Johnson,"October 16 - November 4, 2005",October-November,31.803772,-77.882813,Scientists returned to the waters off the East Coast of the United States to explore continental slope coral ecosystems.,"subs, corals, biodiv, habitat",conshelf,"sewardjohnson, jsl",Life on the Edge,"coldnwatl, tropnwatl, warmnwatl",http://oceanexplorer.noaa.gov/explorations/05edge/welcome.html,lote_2005.gif,,,"Physical, Chemical, and Biological Archive Collection; Get Data; National Oceanographic Data Center Archive Collection; http://accession.nodc.noaa.gov/56842 | Collection of Documents, Images, and Video Highlights; Get Data; NOAA Central Library Cruise Catalog; http://www.lib.noaa.gov/uhtbin/cgisirsi/x/x/0/5/?searchdata1=ocm70078821",,,lote_2005,lote_2005,Ship Track;OECruiseData;74;2005ST.jpg|Dive Locations;OECruiseData;69;2005D.jpg|Dive Trackpoints;OECruiseData;72;2005DTP.jpg|Non-Dive Locations;OECruiseData;70;2005ND.jpg,,,http://oceanexplorer.noaa.gov/explorations/05coralbanks/background/edu/edu.html,,http://www.lib.noaa.gov/researchtools/subjectguides/oceanexplorebib_exped.html#life_details,http://service.ncddc.noaa.gov/rdn/oer-waf/FGDC/2005/LifeOnTheEdge2005_Cruise_Level.html
2005,FLDeepCorals2005,Florida Coast Deep Corals,Yes,11,"Dr. Sandra Brooke, University of Oregon (Principal Investigator)",R/V Seward Johnson,"November 7 - 21, 2005",November,26.636414,-79.251587,"Unlike shallow water tropical reefs, deep-water reefs are not well known.  The data gathered during this expedition provided a strong foundation of information on the deep-water coral ecosystems off the Florida coast.","subs, corals, biodiv, habitat",conshelf,"sewardjohnson, jsl",,"tropnwatl, warmnwatl",http://oceanexplorer.noaa.gov/explorations/05deepcorals/welcome.html,fcdc_2005.jpg,,,"Physical, Chemical, and Biological Archive Collection; Get Data; National Oceanographic Data Center Archive Collection; http://accession.nodc.noaa.gov/2517 | Collection of Documents, Images, and Video Highlights; Get Data; NOAA Central Library Cruise Catalog; http://www.lib.noaa.gov/uhtbin/cgisirsi/x/x/0/5/?searchdata1=ocn236210191",,,,,,,,http://oceanexplorer.noaa.gov/explorations/05deepcorals/background/edu/edu.html,,,http://service.ncddc.noaa.gov/rdn/oer-waf/FGDC/2005/DeepCorals2005_Cruise_Level.html
